2026-04-18 03:51:48.522 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - kafka-secondary-consumer-group: partitions assigned: [mayur-test-0, mayur-test-1, mayur-test-2]
2026-04-18 03:51:48.542 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - kafka-consumer-group: partitions assigned: [mayur-test-0, mayur-test-1, mayur-test-2]
2026-04-18 03:51:48.577 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: hey
2026-04-18 03:51:48.579 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: new comsumer with group
2026-04-18 03:51:48.579 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: I hope you are receiving these messages
2026-04-18 03:51:48.579 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: hello
2026-04-18 03:51:48.580 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: mayur 
2026-04-18 03:51:48.580 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: here
2026-04-18 03:51:48.580 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: how
2026-04-18 03:51:48.580 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  c.m.l.KafkaSecondaryConsumerListener - ✓ [SECONDARY] Message received: are
