2026-04-18 02:49:23.435 [main] INFO  com.mm.KafkaProducerApplication - Starting KafkaProducerApplication using Java 20 with PID 16788 (C:\Users\shubh\IdeaProjects\kafka-learning\kafka-producer\target\classes started by shubh in C:\Users\shubh\IdeaProjects\kafka-learning)
2026-04-18 03:54:22.977 [http-nio-8080-exec-6] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:22.986 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 22
2026-04-18 03:54:23.566 [http-nio-8080-exec-4] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:23.574 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 23
2026-04-18 03:54:24.118 [http-nio-8080-exec-5] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:24.125 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 24
2026-04-18 03:54:24.718 [http-nio-8080-exec-2] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:24.725 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 25
2026-04-18 03:54:25.296 [http-nio-8080-exec-7] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:25.308 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 26
2026-04-18 03:54:25.876 [http-nio-8080-exec-9] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:25.886 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 27
2026-04-18 03:54:26.464 [http-nio-8080-exec-8] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:26.472 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 28
2026-04-18 03:54:26.965 [http-nio-8080-exec-10] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:26.975 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 29
2026-04-18 03:54:27.544 [http-nio-8080-exec-3] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:27.555 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 30
2026-04-18 03:54:28.158 [http-nio-8080-exec-1] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
